Category|Subdomain|Work|Link|Venue|Year|Role
Memory, Graphs, and Long-Term Context|Long-Term Memory Systems|Mem0: Building Production-Ready AI Agents with Scalable Long-Term Memory|https://arxiv.org/abs/2504.19413|arXiv|2025|Scalable production-oriented agent memory.
Memory, Graphs, and Long-Term Context|Agentic Memory|A-Mem: Agentic Memory for LLM Agents||NeurIPS|2026|Agentic memory architecture.
Memory, Graphs, and Long-Term Context|Memory Surveys|A Survey on the Memory Mechanism of Large Language Model Based Agents|https://doi.org/10.1145/3748302|ACM TOIS|2025|Survey of memory mechanisms for LLM agents.
Memory, Graphs, and Long-Term Context|Memory Surveys|Memory for Autonomous LLM Agents: Mechanisms, Evaluation, and Emerging Frontiers|https://arxiv.org/abs/2603.07670|arXiv|2026|Survey on autonomous-agent memory.
Memory, Graphs, and Long-Term Context|Graph Memory and Graph RAG|Graph-Based Agent Memory: Taxonomy, Techniques, and Applications|https://arxiv.org/abs/2602.05665|arXiv|2026|Graph-based memory taxonomy for agents.
Memory, Graphs, and Long-Term Context|Graph Memory and Graph RAG|Graph Retrieval-Augmented Generation: A Survey||ACM TOIS|2025|Survey of graph-based RAG.
Memory, Graphs, and Long-Term Context|Graph Memory and Graph RAG|A Survey of Graph Meets Large Language Model: Progress and Future Directions|https://www.ijcai.org/proceedings/2024/898|IJCAI|2024|Graph-LLM survey relevant to graph provenance.
Memory, Graphs, and Long-Term Context|Graph Memory and Graph RAG|Graph-Augmented Large Language Model Agents: Current Progress and Future Prospects||IEEE Intelligent Systems|2026|Graph-augmented LLM-agent survey.
Memory Safety, Privacy, and Evaluation|Memory Poisoning and Injection|AgentPoison: Red-Teaming LLM Agents via Poisoning Memory or Knowledge Bases|https://proceedings.neurips.cc/paper_files/paper/2024/hash/eb113910e9c3f6242541c1652e30dfd6-Abstract-Conference.html|NeurIPS|2024|Memory and knowledge-base poisoning attack.
Memory Safety, Privacy, and Evaluation|Memory Poisoning and Injection|Memory Injection Attacks on LLM Agents via Query-Only Interaction|https://openreview.net/forum?id=QINnsnppv8|NeurIPS|2025|Query-only memory injection attack.
Memory Safety, Privacy, and Evaluation|Memory Poisoning and Injection|InjecMEM: Memory Injection Attack on LLM Agent Memory Systems|https://openreview.net/forum?id=QVX6hcJ2um|OpenReview|2026|Memory injection attack on agent memory systems.
Memory Safety, Privacy, and Evaluation|Memory Poisoning and Injection|Hidden in Memory: Sleeper Memory Poisoning in LLM Agents|https://arxiv.org/abs/2605.15338|arXiv|2026|Sleeper memory poisoning attack.
Memory Safety, Privacy, and Evaluation|Memory Poisoning and Injection|Poison Once, Exploit Forever: Environment-Injected Memory Poisoning Attacks on Web Agents|https://arxiv.org/abs/2604.02623|arXiv|2026|Environment-injected memory poisoning for web agents.
Memory Safety, Privacy, and Evaluation|Memory Privacy and Defense|Unveiling Privacy Risks in LLM Agent Memory|https://aclanthology.org/2025.acl-long.1227/|ACL|2025|Privacy risks in agent memory.
Memory Safety, Privacy, and Evaluation|Memory Privacy and Defense|A-MemGuard: A Proactive Defense Framework for LLM-Based Agent Memory|https://arxiv.org/abs/2510.02373|arXiv|2025|Defense framework for agent memory.
Memory Safety, Privacy, and Evaluation|Memory Evaluation Benchmarks|Evaluating Very Long-Term Conversational Memory of LLM Agents||ACL|2024|Benchmarking long-term conversational memory.
Memory Safety, Privacy, and Evaluation|Memory Evaluation Benchmarks|MemoryArena: Benchmarking Agent Memory in Interdependent Multi-Session Agentic Tasks|https://arxiv.org/abs/2602.16313|arXiv|2026|Multi-session agent memory benchmark.
Debugging, Reliability, Recovery, and Adjacent Surveys|Agent Debugging and Failure Recovery|Ladybug: An LLM Agent Debugger for Data-Driven Applications|https://openproceedings.org/2025/conf/edbt/paper-313.pdf|EDBT|2025|Debugger for LLM agents in data-driven applications.
Debugging, Reliability, Recovery, and Adjacent Surveys|Agent Debugging and Failure Recovery|CRITIC: Large Language Models Can Self-Correct with Tool-Interactive Critiquing||ICLR|2024|Tool-interactive self-correction.
Debugging, Reliability, Recovery, and Adjacent Surveys|Agent Debugging and Failure Recovery|Where LLM Agents Fail and How They Can Learn from Failures|https://arxiv.org/abs/2509.25370|arXiv|2025|Failure analysis and learning-from-failure mechanisms.
Debugging, Reliability, Recovery, and Adjacent Surveys|Agent Debugging and Failure Recovery|SagaLLM: Context Management, Validation, and Transaction Guarantees for Multi-Agent LLM Planning|https://doi.org/10.14778/3750601.3750611|VLDB|2025|Validation and transaction guarantees for multi-agent planning.
Debugging, Reliability, Recovery, and Adjacent Surveys|Agent Debugging and Failure Recovery|DART: Semantic Recoverability for Structured Tool Agents|https://arxiv.org/abs/2605.23311|arXiv|2026|Recoverability for structured tool agents.
Debugging, Reliability, Recovery, and Adjacent Surveys|Agent Debugging and Failure Recovery|ACRFence: Preventing Semantic Rollback Attacks in Agent Checkpoint-Restore|https://arxiv.org/abs/2603.20625|arXiv|2026|Checkpoint-restore safety for agents.
Debugging, Reliability, Recovery, and Adjacent Surveys|Adjacent Surveys|A Survey of Data Agents: Emerging Paradigm or Overstated Hype?|https://arxiv.org/abs/2510.23587|arXiv|2025|Adjacent survey on data agents.
Debugging, Reliability, Recovery, and Adjacent Surveys|Adjacent Surveys|LLM-Based Agents Suffer from Hallucinations: A Survey of Taxonomy, Methods, and Directions|https://arxiv.org/abs/2509.18970|arXiv|2025|Adjacent survey on hallucinations in LLM agents.
